filename,cell_type,xmin,ymin,xmax,ymax
BloodImage_00315.jpg,RBC,164,261,297,364
BloodImage_00315.jpg,RBC,15,66,148,169
BloodImage_00315.jpg,RBC,13,234,132,333
BloodImage_00315.jpg,RBC,239,3,354,107
BloodImage_00315.jpg,RBC,542,109,640,214
BloodImage_00315.jpg,RBC,441,293,539,398
BloodImage_00315.jpg,RBC,273,198,383,309
BloodImage_00315.jpg,RBC,148,129,277,251
BloodImage_00315.jpg,RBC,363,69,466,160
BloodImage_00315.jpg,RBC,382,190,469,296
BloodImage_00315.jpg,WBC,250,343,487,480
BloodImage_00315.jpg,Platelets,567,234,619,277
BloodImage_00301.jpg,RBC,278,196,366,291
BloodImage_00301.jpg,RBC,359,239,447,334
BloodImage_00301.jpg,RBC,523,110,611,205
BloodImage_00301.jpg,RBC,447,198,568,309
BloodImage_00301.jpg,RBC,183,95,304,206
BloodImage_00301.jpg,RBC,164,201,268,307
BloodImage_00301.jpg,RBC,191,1,295,105
BloodImage_00301.jpg,RBC,90,171,194,277
BloodImage_00301.jpg,RBC,496,304,600,410
BloodImage_00301.jpg,RBC,271,338,375,444
BloodImage_00301.jpg,RBC,157,370,261,476
BloodImage_00301.jpg,RBC,1,311,104,417
BloodImage_00301.jpg,RBC,104,285,208,391
BloodImage_00301.jpg,WBC,305,13,521,214
BloodImage_00301.jpg,Platelets,592,277,630,314
BloodImage_00117.jpg,RBC,507,63,609,180
BloodImage_00117.jpg,RBC,426,383,528,480
BloodImage_00117.jpg,RBC,186,54,290,174
BloodImage_00117.jpg,RBC,108,1,228,104
BloodImage_00117.jpg,RBC,1,1,114,96
BloodImage_00117.jpg,RBC,314,5,428,101
BloodImage_00117.jpg,RBC,61,261,165,359
BloodImage_00117.jpg,RBC,98,393,192,480
BloodImage_00117.jpg,Platelets,524,357,574,398
BloodImage_00117.jpg,Platelets,209,310,242,347
BloodImage_00117.jpg,WBC,242,87,466,301
BloodImage_00117.jpg,RBC,287,383,396,480
BloodImage_00117.jpg,RBC,517,405,620,474
BloodImage_00103.jpg,RBC,349,120,499,206
BloodImage_00103.jpg,RBC,343,272,437,357
